Department,District,Block
"Ballari - Office of The Deputy Director, Department of Tourism",Ballari,Not Applicable
"Ballari- Office of The Deputy Director, Department of Women and Child Development",Ballari,Not Applicable
"Ballari - Office of The Deputy Director, District Treasury",Ballari,Not Applicable
"Ballari-Office of The District Officer, Backward Class Welfare Department",Ballari,Not Applicable
"Ballari - Office of The District officer, Minority Welfare Department",Ballari,Not Applicable
"Ballari - Office of The District Skill Development Officer, Skill Development Department",Ballari,Not Applicable
"Ballari - Office of The Executive Engineer, Dept of Minor Irrigation and Ground Water Development",Ballari,Not Applicable
"Ballari- Office of The Joint Director, Department of Agriculture",Ballari,Not Applicable
"Ballari - Office of The Joint Director, District Industrial Centre, Dept of Ind & Comm",Ballari,Not Applicable
"Ballari- Office of The Registrar of Co-operative Societies, Department of Co-operation",Ballari,Not Applicable
"Ballari- Office of The Senior Assistant Director, Department of Fisheries",Ballari,Not Applicable
"Ballari- Office of The Senior Geologist, Department of Mines and Geology",Ballari,Not Applicable
Ballari- Office of The Superintendent of Police,Ballari,Not Applicable
Ballari-Public Works Department - PWD,Ballari,Not Applicable
"Ballari- Regional Office, Karnataka State Pollution Control Board",Ballari,Not Applicable
Ballari-REVENUE,Ballari,Not Applicable
Ballari-Rural Development and Panchayat Raj - RDPR(Z.P),Ballari,NA
Ballari-Sanduru-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Sanduru
Ballari-Siruguppa-Rural Development and Panchayat Raj - RDPR(T.P),Ballari,Siruguppa
Ballari -Sub Regional Science Center,Ballari,Not Applicable
Ballari Urban Development Authority (BUDA),BUDA,Not Applicable
Ballari-Urban Development Cell - DUDC,Ballari,Not Applicable
Bangalore-Department of Electrical Inspectorate(Head office),Bangalore,Not Applicable
Bangalore-Department of Electrical Inspectorate(North),Bangalore,Not Applicable
Bangalore-Department of Electrical Inspectorate(South),Bangalore,Not Applicable
Bangalore Development Authority (BDA),NA,Not Applicable
Bangalore Electricity Supply Company Ltd (BESCOM),NA,Not Applicable
"Bangalore Mediation Centre, HCK",NA,Not Applicable
Bangalore Medical College and Research Institute,NA,Not Applicable
Bangalore Metropolitan Transport Corporation (BMTC),NA,Not Applicable
Bangalore Metro Rail Corporation Ltd. (BMRCL),NA,Not Applicable
Bangalore water supply and sewage board(Administration),NA,Not Applicable
Bangalore water supply and sewage board(Design),NA,Not Applicable
Bangalore water supply and sewage board(East),Banglore east,Not Applicable
Bangalore water supply and sewage board(Finance),NA,Not Applicable
Bangalore water supply and sewage board(Kaveri Project),NA,Not Applicable
Bangalore water supply and sewage board(West),NA,Not Applicable
Bangalore water supply and sewage board(WWM-110V),NA,Not Applicable
Bangalore water supply and sewage board(WWM) - East,Banglore east,Not Applicable
Bangalore Water Supply And Sewerage Board (Kaveri Operation And Maintenance),NA,Not Applicable
Bangalore Water Supply And Sewerage Board (North),North,Not Applicable
Bangalore Water Supply And Sewerage Board (South),South,Not Applicable
Bangalore Water Supply And Sewerage Board(WWM) - West,Bangalore West,Not Applicable
Bantwal Planning Authority,bantal,Not Applicable
Belagavi-Athni-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Athni
Belagavi-Bailahongal-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Bailahongal
Belagavi-Belagavi-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Belagavi
Belagavi-Chikkodi-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Chikkodi
Belagavi-City Corporation,Belagavi,Not Applicable
Belagavi-Deputy Director of Land Records-DDLR,Belagavi,Not Applicable
Belagavi-District Consumer Disputes and Redressal Commission,Belagavi,Not Applicable
Belagavi-District Registrar - DR,Belagavi,Not Applicable
Belagavi - District Scheduled Tribes Welfare Department,Belagavi,Not Applicable
Belagavi - District Training Institute,Belagavi,Not Applicable
Belagavi-Food and Civil Supplies - FCS,Belagavi,Not Applicable
Belagavi-Gokak-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Gokak
Belagavi - Government College of Teachers Education,Belagavi,Not Applicable
Belagavi-Hukkeri-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Hukkeri
"Belagavi Institute of Medical sciences, Belagavi",State Level / Not Applicable,Not Applicable
"Belagavi -Joint Director office, Commerce and Industries Department",Belagavi,Not Applicable
Belagavi-Kagawad-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Kagawad
Belagavi - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Belagavi,Not Applicable
Belagavi- Karnataka Slum Development Board,Belagavi,Not Applicable
Belagavi-Khanapur-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Khanapur
Belagavi-Kittur-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Kittur
Belagavi-LABOUR,Belagavi,Not Applicable
Belagavi-Mudalagi-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Mudalagi
Belagavi-Nippani-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Nippani
"Belagavi- Office of The Additional Director, Department of Social Welfare",Belagavi,Not Applicable
Belagavi- Office of the commissioner of police,Belagavi,Not Applicable
"Belagavi - Office of the Deputy Director (Administration), Department of School Education",Belagavi,Not Applicable
"Belagavi - Office of The Deputy Director, Department of Agricultural Marketing",Belagavi,Not Applicable
"Belagavi-Office of The Deputy Director, Department of Horticulture",Belagavi,Not Applicable
"Belagavi - Office of the Deputy Director, Department of School Education, Chikkodi",Belagavi,Not Applicable
"Belagavi - Office of the Deputy Director, Department of School Education(Pre University)",Belagavi,Not Applicable
"Belagavi - Office of the Deputy Director, Department of School Education(Pre University) Chikkodi",Belagavi,Not Applicable
"Belagavi-Office of The Deputy Director, Department of Sericulture",Belagavi,Not Applicable
"Belagavi- Office of The Deputy Director, Department of Women and Child Development",Belagavi,Not Applicable
Belagavi - Office of The District Health and Family Welfare Officer,Belagavi,Not Applicable
"Belagavi-Office of the District officer, Backward Classes welfare department",Belagavi,Not Applicable
"Belagavi - Office of The District officer, Minority Welfare Department",Belagavi,Not Applicable
"Belagavi - Office of The District Skill Development Officer, Skill Development Department",Belagavi,Not Applicable
"Belagavi- Office of The Joint Director, Department of Agriculture",Belagavi,Not Applicable
"Belagavi - Office of the Joint Director, District Treasury",Belagavi,Not Applicable
Belagavi-Office of the Joint Registrar of Cooperative Societies,Belagavi,Not Applicable
"Belagavi- Office of the Superintendent Engineer, Department of Minor Irrigation and Groundwater Dev",Belagavi,Not Applicable
Belagavi- Office of The Superintendent of Police,Belagavi,Not Applicable
Belagavi-Public Works Department - PWD,Belagavi,Not Applicable
Belagavi-Ramdurga-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Ramdurga
Belagavi-Raybag-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Raybag
Belagavi-REVENUE,Belagavi,Not Applicable
Belagavi-Rural Development and Panchayat Raj - RDPR(Z.P),Belagavi,NA
Belagavi-Saundatti-Rural Development and Panchayat Raj - RDPR(T.P),Belagavi,Saundatti
Belagavi - Urban Development Authority,Belagavi,Not Applicable
Belagavi-Urban Development Cell - DUDC,Belagavi,Not Applicable
"Bengaluru - Joint Director of Town and Country Planning, Divisional Office",Bengaluru,Not Applicable
Bengaluru Metropolitan Region Development Authority(BMRDA),BMRDA,Not Applicable
Bengaluru North - District Institute for Education and Training (DIET),Bengaluru North,Not Applicable
"Bengaluru North - Office of the Deputy Director, Department of School Education(Pre University)",Bengaluru North,Not Applicable
"Bengaluru- Office of The Chief Engineer (Electricity),RT&R&D KPTCL,Corporate Office",Bengaluru,Not Applicable
"Bengaluru- Office of The Chief Engineer (Electricity),Transmission zone, KPTCL",Bengaluru,Not Applicable
Bengaluru rural and Bengaluru urban 1st Additional district consumer disputes redressal commission,State Level / Not Applicable,Not Applicable
Bengaluru Rural- Department Of Skill Development,Bengaluru Rural,Not Applicable
Bengaluru Rural-Deputy Director of Land Records-DDLR,Bengaluru Rural,Not Applicable
Bengaluru Rural-Devanahalli-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Rural,Devanahalli
Bengaluru Rural - District Institute for Education and Training (DIET),Bengaluru Rural,Not Applicable
Bengaluru Rural-District Registrar - DR,Bengaluru Rural,Not Applicable
Bengaluru Rural - District Training Institute,Bengaluru Rural,Not Applicable
Bengaluru Rural-Doddaballapura-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Rural,Doddaballapura
Bengaluru Rural-Food and Civil Supplies - FCS,Bengaluru Rural,Not Applicable
Bengaluru Rural-Hoskote-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Rural,Hoskote
Bengaluru Rural- Karnataka Lokayukta Police,Bengaluru Rural,Not Applicable
Bengaluru Rural-LABOUR,Bengaluru Rural,Not Applicable
Bengaluru Rural-Nelamangala-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Rural,Nelamangala
"Bengaluru Rural-Office of The Assistant Director ,Department of Tourism",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The Assistant Director, Department of Youth Empowerment and Sports",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The Deputy commissioner, Department of Excise",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The Deputy Director, Department of Public Instruction",Bengaluru Rural,Not Applicable
"Bengaluru Rural - Office of the Deputy Director, Department of School Education(Pre University)",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The Deputy Director, Department of Sericulture",Bengaluru Rural,Not Applicable
"Bengaluru Rural-Office of The Deputy Director, Department of Social Welfare",Bengaluru Rural,Not Applicable
"Bengaluru Rural-Office of The Deputy Director, Department of Women and Child Development",Bengaluru Rural,Not Applicable
"Bengaluru Rural-Office of The Deputy Director, Dept of Animal Husbandry and Veterinary Services",Bengaluru Rural,Not Applicable
"Bengaluru Rural - Office of the Deputy Director, District Treasury",Bengaluru Rural,Not Applicable
"Bengaluru Rural - Office of The Deputy Director, Fisheries Department",Bengaluru Rural,Not Applicable
Bengaluru Rural- Office of The District Health and Family Welfare Officer,Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The District Office, Department of Backward Classes Welfare",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The District Officer, Minority Welfare Department",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The District Statistical Officer, Department of Statistics",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The Joint Director, Department of Agriculture",Bengaluru Rural,Not Applicable
"Bengaluru Rural- Office of The Joint Director, District Industrial Centre, Department of Industries and Commerce",Bengaluru Rural,Not Applicable
Bengaluru Rural- Office of The Superintendent of Police,Bengaluru Rural,Not Applicable
Bengaluru Rural-Public Works Department - PWD,Bengaluru Rural,Not Applicable
Bengaluru Rural-REVENUE,Bengaluru Rural,Not Applicable
Bengaluru Rural-Rural Development and Panchayat Raj - RDPR(Z.P),Bengaluru Rural,NA
Bengaluru Rural-Urban Development Cell - DUDC,Bengaluru Rural,Not Applicable
Bengaluru South - Channapatna-Rural Development and Panchayat Raj-RDPR(T.P),Bengaluru South,Channapatna
Bengaluru South - Department of Physicaly disabled and Senior Citizens,Bengaluru South,Not Applicable
"Bengaluru South - Deputy Director office, Horticulture department",Bengaluru South,Not Applicable
Bengaluru South - Deputy Director of Land Records-DDLR,Bengaluru South,Not Applicable
Bengaluru South - District Institute for Education and Training (DIET),Bengaluru South,Not Applicable
Bengaluru South - District Registrar - DR,Bengaluru South,Not Applicable
Bengaluru South - District Training Institute,Bengaluru South,Not Applicable
Bengaluru South - Food and Civil Supplies - FCS,Bengaluru South,Not Applicable
Bengaluru South-Kanakapura-Rural Development and Panchayat Raj-RDPR(T.P),Bengaluru South,Kanakapura
Bengaluru South - Karnataka State Khadi And Village Industries Board,Bengaluru South,Not Applicable
Bengaluru South - LABOUR,Bengaluru South,Not Applicable
Bengaluru South - Magadi-Rural Development and Panchayat Raj-RDPR(T.P),Bengaluru South,Magadi
"Bengaluru South - Office of The Assiatant Director, Department of Kannada and Culture",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Assistant Commissioner, Commercial Taxes Department",Bengaluru South,Not Applicable
"Bengaluru South- Office of The Assistant Controller, Department of Legal Metrology",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Assistant Director, Department of Agricultural Marketing",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Assistant Director, Department of Tourism",Bengaluru South,Not Applicable
"Bengaluru South- Office of the Assistant Director, Department of Youth Empowermnet and Sports",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Chief Librarian, Department of Public Library",Bengaluru South,Not Applicable
"Bengaluru South - Office of the Deputy Commissioner, Department of Excise",Bengaluru South,Not Applicable
"Bengaluru South - Office of the Deputy Director (Administration), Department of School Education",Bengaluru South,Not Applicable
"Bengaluru South - Office of the Deputy Director,Department of Animal Husbandry and Veterinary Services",Bengaluru South,Not Applicable
"Bengaluru South- Office of the Deputy Director, Department of Mines and Geology",Bengaluru South,Not Applicable
"Bengaluru South - Office of the Deputy Director, Department of Pre- University education",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Deputy Director, Department of Public Instruction",Bengaluru South,Not Applicable
"Bengaluru South - Office of the Deputy Director, Department of Sericulture",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Deputy Director, Department of Social Welfare",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Deputy Director, Department of Women and Child Development",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Deputy Director, District Treasury",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Deputy Director, Fisheries Department",Bengaluru South,Not Applicable
Bengaluru South - Office of The District Health and Family Welfare Officer,Bengaluru South,Not Applicable
"Bengaluru South - Office of the District Officer, Backward Class Welfare Department",Bengaluru South,Not Applicable
"Bengaluru South - Office of The District Skill Development Officer, Skill Development Department",Bengaluru South,Not Applicable
Bengaluru South - Office of the District Statistical Officer,Bengaluru South,Not Applicable
"Bengaluru South - Office of The Executive Engineer, Cauvery Neeravari Nigama Limited",Bengaluru South,Not Applicable
"Bengaluru South - Office of The Joint Director, Agriculture Department",Bengaluru South,Not Applicable
"Bengaluru South- Office of the Joint Director, District Industrial Centre, Department of Industries and Commerce",Bengaluru South,Not Applicable
"Bengaluru South - Office of the Senior Assistant Director, Department of Information and Public Relations",Bengaluru South,Not Applicable
Bengaluru South - Office of The Superintendent of Police,Bengaluru South,Not Applicable
Bengaluru South -Public Works Department - PWD,Bengaluru South,Not Applicable
Bengaluru South -Ramanagara-Rural Development and Panchayat Raj-RDPR(T.P),Bengaluru South,Ramanagara
"Bengaluru South - Regional office, Karnataka State Pollution Contol Board",Bengaluru South,Not Applicable
Bengaluru South - REVENUE,Bengaluru South,Not Applicable
Bengaluru South -Rural Development and Panchayat Raj-RDPR(Z.P),Bengaluru South,NA
Bengaluru South-Urban Development Cell - DUDC,Bengaluru South,Not Applicable
Bengaluru urban 2nd Additional district consumer disputes redressal commission,State Level / Not Applicable,Not Applicable
Bengaluru urban 3rd Additional district consumer disputes redressal commission,State Level / Not Applicable,Not Applicable
Bengaluru urban 4th Additional district consumer disputes redressal commission,State Level / Not Applicable,Not Applicable
Bengaluru Urban-Anekal-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Urban,Anekal
Bengaluru Urban-Balavikasa Academy,Bengaluru Urban,Not Applicable
Bengaluru Urban-Bengaluru East-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Urban,Bengaluru East
Bengaluru Urban-BengaluruNorth-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Urban,BengaluruNorth
Bengaluru Urban-BengaluruSouth-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Urban,BengaluruSouth
Bengaluru Urban-Deputy Director of Land Records - DDLR,Bengaluru Urban,Not Applicable
Bengaluru urban district consumer disputes redressal commission,Bengaluru Urban,Not Applicable
"Bengaluru Urban - District Institute of Education and Training South,(DIET)",Bengaluru Urban,Not Applicable
Bengaluru Urban-District Registrar - DR,Bengaluru Urban,Not Applicable
Bengaluru Urban - District Training Institute,Bengaluru Urban,Not Applicable
Bengaluru Urban-Food and Civil Supplies - FCS,Bengaluru Urban,Not Applicable
"Bengaluru Urban - Joint Director office, Commerce and Industries Department",Bengaluru Urban,Not Applicable
Bengaluru Urban- Karnataka Lokayukta Police,Bengaluru Urban,Not Applicable
Bengaluru urban - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Bengaluru urban,Not Applicable
Bengaluru Urban-LABOUR,Bengaluru Urban,Not Applicable
"Bengaluru Urban (North)- Office of the Deputy Director, Department of Public Instruction",Bengaluru Urban (North),Not Applicable
"Bengaluru Urban- Office of the Deputy Director, Animal Husbandary and Veterinary Services Dept",Bengaluru Urban,Not Applicable
"Bengaluru Urban-Office of the Deputy Director, Department of Backward Classes Welfare Department",Bengaluru Urban,Not Applicable
"Bengaluru Urban- Office of the Deputy Director, Department of Women and Child Development",Bengaluru Urban,Not Applicable
"Bengaluru Urban-Office of the Deputy Director,Stamp Depot,Treasury Department",Bengaluru Urban,Not Applicable
"Bengaluru Urban - Office of The District Skill Development Officer, Skill Development Department",Bengaluru Urban,Not Applicable
"Bengaluru Urban- Office of the Joint Director, Department of Social Welfare",Bengaluru Urban,Not Applicable
Bengaluru Urban-Office of the Joint Registrar of Cooperative Societies,Bengaluru Urban,Not Applicable
Bengaluru Urban- Police commissioner office,Bengaluru Urban,Not Applicable
Bengaluru Urban-Public Works Department - PWD,Bengaluru Urban,Not Applicable
Bengaluru Urban-REVENUE,Bengaluru Urban,Not Applicable
Bengaluru Urban-Rural Development and Panchayat Raj - RDPR(Z.P),Bengaluru Urban,NA
"Bengaluru Urban & Rural-Office of the Deputy director, Department Of Agricultural Marketing",Bengaluru Urban & Rural,Not Applicable
Bengaluru Urban-Urban Development Cell - DUDC,Bengaluru Urban,Not Applicable
Bengaluru Urban-Yelahanka-Rural Development and Panchayat Raj - RDPR(T.P),Bengaluru Urban,Yelahanka
Bhadra Command Area Development Authority(CADA) (Shivamogga),Shivamogga,Not Applicable
Bidar-Aurad-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Aurad
Bidar-Basavakalyana-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Basavakalyana
Bidar-Bhalki-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Bhalki
Bidar- Bidar Institute of Medical Sciences,Bidar,Not Applicable
Bidar-Bidar-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Bidar
Bidar-Chitgoppa-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Chitgoppa
"Bidar - Deputy Director office, Horticulture Department",Bidar,Not Applicable
Bidar-Deputy Director of Land Records-DDLR,Bidar,Not Applicable
Bidar - District Consumer Disputes and Redressal Commission,Bidar,Not Applicable
Bidar - District Institute for Education and Training(DIET),Bidar,Not Applicable
Bidar-District Registrar - DR,Bidar,Not Applicable
Bidar - District Training Institute,Bidar,Not Applicable
Bidar-Food and Civil Supplies - FCS,Bidar,Not Applicable
Bidar-Hularuru-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Hularuru
Bidar-Humnabad-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Humnabad
Bidar-Kamalnagar-Rural Development and Panchayat Raj - RDPR(T.P),Bidar,Kamalnagar
Bidar - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Bidar,Not Applicable
Bidar- Karnataka Rural Infrastructure Development Limited,Bidar,Not Applicable
"Bidar-Karnataka Veterinary and Animal husbandry, fisheries and science university",Bidar,Not Applicable
Bidar-LABOUR,Bidar,Not Applicable
"Bidar - Office of the Assistant Director, Department of Agricultural Marketing",Bidar,Not Applicable
"Bidar- Office of The Assistant Director, Department of Youth Empowerment and Sports",Bidar,Not Applicable
"Bidar - Office of The Deputy Commissioner, Department of Excise",Bidar,Not Applicable
"Bidar-Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",Bidar,Not Applicable
"Bidar - Office of the Deputy Director, Department of Public Instruction",Bidar,Not Applicable
"Bidar - Office of the Deputy Director, Department of School Education(Pre University)",Bidar,Not Applicable
"Bidar- Office of The Deputy Director, Department of Women and Child Development",Bidar,Not Applicable
"Bidar - Office of the Deputy Director, District Treasury",Bidar,Not Applicable
"Bidar - Office of the District Officer, Backward Class Welfare Department",Bidar,Not Applicable
"Bidar - Office of The District Skill Development Officer, Skill Development Department",Bidar,Not Applicable
"Bidar - Office of The Executive Engineer, Department of Minor Irrigation and Ground Water Developmen",Bidar,Not Applicable
"Bidar-Office of The Executive Engineer,Karnataka Neeravari Nigama Limited",Bidar,Not Applicable
"Bidar- Office of The Joint Director, Department of Agriculture",Bidar,Not Applicable
"Bidar- Office of The Joint Director, District Industrial Centre,Dept of Industries and Commerce",Bidar,Not Applicable
"Bidar - Office of the Senior Geologist, Department of Mines and Geology",Bidar,Not Applicable
Bidar- Office of The Superintendent of Police,Bidar,Not Applicable
Bidar-Public Works Department - PWD,Bidar,Not Applicable
"Bidar- Regional Office, Karnataka State Pollution Control Board",Bidar,Not Applicable
Bidar-REVENUE,Bidar,Not Applicable
Bidar-Rural Development and Panchayat Raj - RDPR(Z.P),Bidar,NA
Bidar-Urban Development Cell - DUDC,Bidar,Not Applicable
BMCRI Super Speciality Hospital (PMSSY),PMSSY,Not Applicable
Bruhat Bengaluru Mahanagara Palike (Bommanahalli Zone) BBMP,Bommanahalli Zone,Not Applicable
Bruhat Bengaluru Mahanagara Palike (Central Zone) BBMP,Central Zone,Not Applicable
