application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
KA-094,ka2026q3_01,Karnataka,"Bidar- Regional Office, Karnataka State Pollution Control Board",KARNATAKA STATE POLLUTION CONTROL BOARD,Bidar,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-100,ka2026q3_01,Karnataka,Bidar-LABOUR,LABOUR,Bidar,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-102,ka2026q3_01,Karnataka,"Vijayanagara - Office of the Labour Officer, Department of Labour",LABOUR,Vijayanagara,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-108,ka2026q3_01,Karnataka,"Vijayapura- Office of the Executive Engineer, Dept of Minor Irrigation and Ground Water Development",MINOR IRRIGATION AND GROUND WATER DEVELOPMENT,Vijayapura,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-111,ka2026q3_01,Karnataka,"Kolar - Office of the District officer, Minority Welfare Department",MINORITY WELFARE,Kolar,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-125,ka2026q3_01,Karnataka,"Koppal- Office of The Deputy Director, Department of Public Instruction",PUBLIC INSTRUCTION,Koppal,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-131,ka2026q3_01,Karnataka,Bagalkot-Jamkhandi-Rural Development and Panchayat Raj - RDPR(T.P),RDPR(T.P),Bagalkot,Jamkhandi,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-133,ka2026q3_01,Karnataka,Bengaluru Urban-BengaluruSouth-Rural Development and Panchayat Raj - RDPR(T.P),RDPR(T.P),Bengaluru Urban,BengaluruSouth,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-136,ka2026q3_01,Karnataka,Dharwad-Navalgund-Rural Development and Panchayat Raj - RDPR(T.P),RDPR(T.P),Dharwad,Navalgund,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-140,ka2026q3_01,Karnataka,Tumakuru-Koratagere-Rural Development and Panchayat Raj-RDPR(T.P),RDPR(T.P),Tumakuru,Koratagere,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-143,ka2026q3_01,Karnataka,Yadgir-Hunasagi-Rural Development and Panchayat Raj-RDPR(T.P),RDPR(T.P),Yadgir,Hunasagi,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-147,ka2026q3_01,Karnataka,Mysuru-Rural Development and Panchayat Raj-RDPR(Z.P),RDPR(Z.P),Mysuru,NA,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-148,ka2026q3_01,Karnataka,Uttara Kannada-Rural Development and Panchayat Raj-RDPR(Z.P),RDPR(Z.P),Uttara Kannada,NA,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-153,ka2026q3_01,Karnataka,Koppal-REVENUE,REVENUE,Koppal,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-160,ka2026q3_01,Karnataka,"Chikkaballapura - Office of The District Skill Development Officer, Skill Development Department",SKILL DEVELOPMENT,Chikkaballapura,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-162,ka2026q3_01,Karnataka,"Mysuru - Office of The District Skill Development Officer, Skill Development Department",SKILL DEVELOPMENT,Mysuru,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-172,ka2026q3_01,Karnataka,"Mysuru - Office of the Joint Director, Town & Country Planning",TOWN AND COUNTRY PLANNING,Mysuru,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-174,ka2026q3_01,Karnataka,Chikkaballapura - Urban Development Authority,URBAN DEVELOPMENT AUTHORITY,Chikkaballapura,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
KA-178,ka2026q3_01,Karnataka,"Tumakuru- Office of The Deputy Director, Department of Women and Child Development",WOMEN AND CHILD DEVELOPMENT,Tumakuru,Not Applicable,RTI_Online_Karnataka,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
KA-179,ka2026q3_01,Karnataka,"Haveri- Office of The Assistant Director, Department of Youth Empowerment and Sports",YOUTH EMPOWERMENT AND SPORTS,Haveri,Not Applicable,RTI_Online_Karnataka,plain,RA2,v3,en,portal,,,,,,,,,,,,,
